i	j	x	r	mach	theta	press	temp
28	47	0.667733	0.959212	1.82033	17.4263	50.9611	3172.21
29	47	0.683084	0.954853	1.82567	17.4066	50.5281	3166.46
30	47	0.698625	0.950468	1.83113	17.385	50.0889	3160.59
31	47	0.714353	0.946055	1.8367	17.3616	49.6436	3154.6
32	47	0.73027	0.941617	1.8424	17.3362	49.1924	3148.48
33	47	0.746374	0.937153	1.84821	17.3088	48.7352	3142.23
34	47	0.762666	0.932665	1.85415	17.2794	48.2723	3135.86
35	47	0.779144	0.928152	1.86021	17.2479	47.8037	3129.37
36	47	0.795808	0.923616	1.8664	17.2142	47.3297	3122.74
37	47	0.812657	0.919058	1.87271	17.1783	46.8503	3115.99
38	47	0.82923	0.9146	1.87868	17.1508	46.4007	3109.61
39	47	0.845081	0.910363	1.88395	17.1391	46.007	3103.98
40	47	0.861073	0.906115	1.88941	17.1229	45.6021	3098.16
41	47	0.876915	0.901933	1.89476	17.1091	45.2089	3092.46
42	47	0.893188	0.897663	1.90049	17.0871	44.7903	3086.35
43	47	0.909273	0.893468	1.90605	17.0692	44.388	3080.43
44	47	0.925942	0.889146	1.91212	17.0408	43.9523	3073.98
45	47	0.942239	0.884947	1.91784	17.02	43.545	3067.9
46	47	0.959097	0.880629	1.92405	16.9892	43.107	3061.31
47	47	0.976019	0.87632	1.93031	16.9577	42.6698	3054.69
48	47	0.992875	0.872054	1.9365	16.9278	42.241	3048.14
49	47	1.01029	0.867671	1.94317	16.8878	41.7828	3041.08
50	47	1.0274	0.863392	1.94957	16.8538	41.348	3034.32
51	47	1.04476	0.859074	1.95619	16.8152	40.9021	3027.33
52	47	1.06261	0.854659	1.96324	16.7676	40.432	3019.9
53	47	1.08002	0.850379	1.96991	16.7279	39.992	3012.89
54	47	1.09771	0.846052	1.97685	16.6827	39.539	3005.6
55	47	1.11588	0.841633	1.9842	16.6286	39.0637	2997.88
56	47	1.13375	0.83731	1.99131	16.5792	38.6089	2990.43
57	47	1.15158	0.833019	1.99842	16.5297	38.1593	2982.99
58	47	1.16992	0.828627	2.006	16.4703	37.6853	2975.07
59	47	1.18844	0.824215	2.01375	16.4068	37.2059	2966.98
60	47	1.20617	0.820012	2.02087	16.3557	36.7704	2959.57
61	47	1.22455	0.815678	2.02858	16.2921	36.3043	2951.55
62	47	1.24324	0.811289	2.03659	16.2216	35.8251	2943.23
63	47	1.26169	0.806975	2.04446	16.1535	35.3607	2935.07
64	47	1.2797	0.802783	2.05202	16.0907	34.9197	2927.25
65	47	1.29824	0.798488	2.06007	16.017	34.4551	2918.93
66	47	1.31699	0.794159	2.06837	15.9376	33.9826	2910.37
67	47	1.33548	0.789907	2.07653	15.8598	33.5236	2901.97
68	47	1.35218	0.78608	2.0838	15.7926	33.1197	2894.5
69	47	1.35644	0.785106	2.08632	15.7542	32.9806	2891.91
70	47	1.36318	0.783564	2.08993	15.7056	32.7826	2888.21
71	47	1.37223	0.781494	2.09446	15.6501	32.5354	2883.57
72	47	1.38277	0.77909	2.0992	15.6023	32.279	2878.72
73	47	1.39594	0.776089	2.10509	15.5434	31.9623	2872.69
74	47	1.41175	0.772496	2.11213	15.4738	31.5883	2865.52
75	47	1.43009	0.768341	2.12019	15.396	31.1647	2857.3
76	47	1.45101	0.763618	2.12932	15.3091	30.6913	2848.02
77	47	1.4748	0.758266	2.13975	15.2087	30.1588	2837.44
78	47	1.50197	0.752178	2.1519	15.0859	29.5488	2825.14
79	47	1.53318	0.74521	2.16652	14.9239	28.8309	2810.41
80	47	1.57275	0.736399	2.18658	14.669	27.872	2790.27
81	47	1.62453	0.72487	2.21418	14.2898	26.6018	2762.74
82	47	1.66634	0.715564	2.23412	14.0532	25.7187	2742.98
83	47	1.71699	0.704293	2.26009	13.708	24.6099	2717.4
84	47	1.76299	0.694052	2.28211	13.4391	23.7052	2695.85
85	47	1.81594	0.68225	2.30879	13.0866	22.6521	2669.93
86	47	1.8668	0.670891	2.3333	12.7786	21.7243	2646.3
87	47	1.92329	0.658241	2.36141	12.4065	20.7049	2619.4
88	47	1.97939	0.645628	2.3885	12.058	19.7664	2593.69
89	47	2.04035	0.631858	2.41852	11.6587	18.7746	2565.46
90	47	2.10219	0.617807	2.44832	11.2684	17.8377	2537.69
91	47	2.16854	0.602625	2.48063	10.8358	16.8736	2507.89
92	47	2.2368	0.586878	2.51332	10.4022	15.9503	2478.06
93	47	2.30954	0.569939	2.54828	9.93128	15.0174	2446.51
94	47	2.38511	0.552151	2.58407	9.45156	14.1181	2414.61
95	47	2.46541	0.533023	2.62206	8.93725	13.222	2381.18
96	47	2.54946	0.512733	2.66124	8.4079	12.3565	2347.15
97	47	2.63872	0.490861	2.70262	7.84475	11.5038	2311.74
98	47	2.73272	0.467451	2.74554	7.26101	10.6815	2275.58
99	47	2.83267	0.442108	2.79071	6.6425	9.87936	2238.12
100	47	2.93849	0.41475	2.83771	5.9977	9.10914	2199.83
101	47	3.05129	0.38496	2.88706	5.31502	8.36536	2160.35
102	47	3.17131	0.352522	2.93843	4.59883	7.65618	2120.05
103	47	3.29967	0.316946	2.99218	3.83781	6.97941	2078.74
104	47	3.43689	0.277847	3.04792	3.03087	6.34173	2036.83
105	47	3.58413	0.234588	3.10558	2.16139	5.74455	1994.45
106	47	3.74215	0.186526	3.16401	1.21186	5.19792	1952.5
107	47	3.91193	0.132703	3.22064	0.123143	4.71916	1912.79
108	47	4.09632	0.0731763	3.26844	0	4.35041	1879.99
109	47	4.12219	0.0649123	3.27713	0	4.28669	1874.1

0	48	0.372373	1.07835	1.7328	17.5687	58.53	3266.99
1	48	0.375025	1.07751	1.73351	17.5706	58.4644	3266.21
2	48	0.385733	1.07411	1.73645	17.5771	58.1964	3263.02
3	48	0.396657	1.07065	1.73948	17.5826	57.9206	3259.73
4	48	0.407796	1.06715	1.7426	17.5872	57.6373	3256.33
5	48	0.419146	1.06359	1.74582	17.5909	57.3466	3252.83
6	48	0.430707	1.05999	1.74913	17.5937	57.0488	3249.23
7	48	0.442475	1.05634	1.75254	17.5955	56.7439	3245.53
8	48	0.454448	1.05264	1.75604	17.5965	56.4323	3241.74
9	48	0.466624	1.0489	1.75963	17.5965	56.114	3237.84
10	48	0.479002	1.04512	1.76331	17.5956	55.789	3233.85
11	48	0.49158	1.04129	1.76709	17.5938	55.4576	3229.75
12	48	0.504356	1.03743	1.77096	17.591	55.1198	3225.56
13	48	0.517328	1.03352	1.77492	17.5872	54.7757	3221.27
14	48	0.530496	1.02958	1.77898	17.5823	54.4253	3216.88
15	48	0.543859	1.0256	1.78313	17.5763	54.0686	3212.38
16	48	0.557415	1.02159	1.78738	17.5691	53.7057	3207.79
17	48	0.571164	1.01754	1.79172	17.5608	53.3366	3203.09
18	48	0.585104	1.01346	1.79617	17.5512	52.9613	3198.28
19	48	0.599237	1.00934	1.80071	17.5402	52.5799	3193.37
20	48	0.613561	1.0052	1.80536	17.5279	52.1922	3188.35
21	48	0.628076	1.00102	1.81012	17.5141	51.7984	3183.22
22	48	0.642783	0.996806	1.81498	17.4988	51.3984	3177.98
