i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
94	1	0.420096	0.204533	1.21993	0	122.607	3823.14	0.00201132	0.236057
95	1	0.427897	0.193466	1.22709	0	121.477	3815.63	0.00199671	0.21076
96	1	0.43575	0.182519	1.23439	0	120.333	3807.96	0.00198189	0.187178
97	1	0.443653	0.171693	1.2418	0	119.176	3800.14	0.00196687	0.165265
98	1	0.4516	0.16099	1.24934	0	118.006	3792.19	0.00195165	0.144971
99	1	0.45959	0.150411	1.257	0	116.827	3784.09	0.00193627	0.126249
100	1	0.467618	0.139958	1.26476	0	115.637	3775.87	0.00192073	0.10905
101	1	0.475679	0.129633	1.27262	0	114.44	3767.52	0.00190506	0.0933243
102	1	0.483769	0.119437	1.28058	0	113.236	3759.06	0.00188926	0.0790237
103	1	0.491884	0.109373	1.28863	0	112.026	3750.49	0.00187335	0.0660986
104	1	0.500018	0.0994432	1.29676	0	110.813	3741.82	0.00185735	0.0544991
105	1	0.508166	0.0896495	1.30496	0	109.597	3733.05	0.00184129	0.0441756
106	1	0.516323	0.0799944	1.31323	0	108.38	3724.2	0.00182517	0.0350778
107	1	0.524482	0.0704805	1.32156	0	107.163	3715.27	0.00180902	0.0271555
108	1	0.532637	0.0611103	1.32994	0	105.948	3706.27	0.00179285	0.0203582
109	1	0.540783	0.0518868	1.33836	0	104.737	3697.22	0.00177668	0.0146351
110	1	0.548911	0.0428129	1.34681	0	103.53	3688.12	0.00176054	0.00993548
111	1	0.557016	0.0338917	1.35529	0	102.329	3678.99	0.00174445	0.00620827
112	1	0.565089	0.0251264	1.36377	0	101.136	3669.83	0.00172841	0.0034024
113	1	0.573122	0.0165205	1.37227	0	99.9518	3660.65	0.00171246	0.00146671
114	1	0.581096	0.00809278	1.38102	0	98.7409	3651.18	0.0016961	0.000351354
115	1	0.588804	0	1.38102	0	98.7409	3651.18	0.0016961	0

0	2	0.0004008	1	1.13276	0.0287052	136.824	3913.36	0.00219279	5.93106
1	2	0.000651627	0.999529	1.13249	0.035066	136.87	3913.65	0.00219338	5.92551
2	2	0.00100274	0.998869	1.1321	0.0439159	136.935	3914.04	0.0021942	5.91774
3	2	0.00145411	0.99802	1.13161	0.0552012	137.017	3914.54	0.00219524	5.90774
4	2	0.00200571	0.99698	1.13102	0.0688538	137.117	3915.15	0.0021965	5.89551
5	2	0.00265753	0.995748	1.13032	0.0847921	137.234	3915.86	0.00219797	5.88105
6	2	0.00340954	0.994324	1.12953	0.102921	137.367	3916.66	0.00219964	5.86433
7	2	0.00426173	0.992707	1.12865	0.123134	137.515	3917.56	0.00220151	5.84536
8	2	0.00521408	0.990893	1.12768	0.145313	137.678	3918.55	0.00220357	5.82414
9	2	0.00626658	0.988883	1.12663	0.169327	137.855	3919.62	0.0022058	5.80063
10	2	0.00741923	0.986674	1.1255	0.19504	138.044	3920.76	0.00220818	5.77485
11	2	0.00867202	0.984264	1.12431	0.222302	138.246	3921.98	0.00221072	5.74677
12	2	0.010025	0.981651	1.12305	0.250961	138.457	3923.25	0.00221338	5.7164
13	2	0.011478	0.978832	1.12174	0.280855	138.678	3924.58	0.00221617	5.6837
14	2	0.0130313	0.975806	1.12039	0.311819	138.908	3925.96	0.00221905	5.64869
15	2	0.0146847	0.972569	1.11899	0.343684	139.144	3927.38	0.00222202	5.61134
16	2	0.0164383	0.96912	1.11757	0.376278	139.385	3928.83	0.00222505	5.57166
17	2	0.0182922	0.965456	1.11612	0.409429	139.631	3930.3	0.00222814	5.52963
18	2	0.0202462	0.961574	1.11465	0.442964	139.879	3931.78	0.00223126	5.48525
19	2	0.0223006	0.957471	1.11318	0.476712	140.128	3933.27	0.00223439	5.43851
20	2	0.0244552	0.953145	1.11171	0.510504	140.377	3934.75	0.00223751	5.38943
21	2	0.0267101	0.948594	1.11026	0.544177	140.625	3936.23	0.00224062	5.338
22	2	0.0290653	0.943815	1.10882	0.57757	140.869	3937.68	0.00224368	5.28424
23	2	0.0315208	0.938806	1.10742	0.610529	141.108	3939.1	0.00224668	5.22815
24	2	0.0340767	0.933565	1.10605	0.642907	141.341	3940.48	0.0022496	5.16975
25	2	0.0367328	0.92809	1.10472	0.674564	141.567	3941.82	0.00225243	5.10907
26	2	0.0394893	0.92238	1.10345	0.70537	141.784	3943.1	0.00225515	5.04614
27	2	0.042346	0.916434	1.10224	0.735202	141.991	3944.33	0.00225774	4.98099
28	2	0.045303	0.91025	1.1011	0.763949	142.186	3945.48	0.00226019	4.91366
29	2	0.0483601	0.90383	1.10003	0.791508	142.369	3946.56	0.00226248	4.8442
