i	XD	ThetaCalc	ThetaE	xE	rE	Err
102	2.01373	0.0668077	7.07655	2.01373	0.589901	104.924
103	2.02522	-0.105671	7.00962	2.02522	0.587293	67.3342
i	XD	ThetaCalc	ThetaE	xE	rE	Err
1	0.311369	16.8693	16.8968	0.311369	1.03705	0.00163132
2	0.354073	16.571	16.6415	0.354073	1.02239	0.00425684
3	0.401025	16.23	16.3428	0.401025	1.00656	0.00694948
4	0.452063	15.8499	16.0096	0.452063	0.989683	0.0100746
5	0.506998	15.4338	15.6498	0.506998	0.971887	0.0139942
6	0.565642	14.9834	15.2684	0.565642	0.953292	0.0190236
7	0.627839	14.4984	14.8672	0.627839	0.934004	0.0254424
8	0.693362	13.9799	14.4501	0.693362	0.914142	0.0336365
9	0.756793	13.5534	14.2003	0.756793	0.895378	0.047726
10	0.820803	13.1225	13.9647	0.820803	0.876936	0.0641816
11	0.867145	12.7908	13.772	0.867145	0.863885	0.0767096
12	0.913556	12.4579	13.5876	0.913556	0.851059	0.0906754
13	0.960218	12.1158	13.4	0.960218	0.838405	0.105991
14	1.0071	11.7625	13.2065	1.0071	0.825932	0.122768
15	1.04497	11.4659	13.0407	1.04497	0.816022	0.137346
16	1.08304	11.1602	12.8696	1.08304	0.806209	0.153165
17	1.12098	10.8485	12.6959	1.12098	0.796566	0.17029
18	1.15883	10.5282	12.5165	1.15883	0.787078	0.188856
19	1.19655	10.1984	12.33	1.19655	0.777753	0.209023
20	1.23417	9.85553	12.1327	1.23417	0.768568	0.231054
21	1.26686	9.55045	11.958	1.26686	0.760674	0.25209
22	1.29895	9.23987	11.7778	1.29895	0.753003	0.274673
23	1.32823	8.94605	11.6052	1.32823	0.746064	0.297246
24	1.3549	8.67181	11.4443	1.3549	0.739787	0.319717
25	1.38038	8.40146	11.2844	1.38038	0.733828	0.343145
26	1.40219	8.16129	11.1401	1.40219	0.728754	0.364994
27	1.41953	7.96766	11.0245	1.41953	0.724735	0.383656
28	1.43024	7.84047	10.9451	1.43024	0.722257	0.395972
29	1.45264	7.58398	10.793	1.45264	0.71709	0.423127
30	1.45447	7.55479	10.771	1.45447	0.71667	0.42572
31	1.45727	7.51379	10.7419	1.45727	0.716025	0.429621
32	1.46057	7.46944	10.7123	1.46057	0.715264	0.434145
33	1.46492	7.41182	10.6743	1.46492	0.714262	0.440172
34	1.46984	7.34934	10.6347	1.46984	0.71313	0.447023
35	1.47715	7.26118	10.5815	1.47715	0.711448	0.457271
36	1.48377	7.17923	10.5313	1.48377	0.709925	0.466918
37	1.49057	7.09776	10.4833	1.49057	0.708362	0.476981
38	1.49827	7.00305	10.4264	1.49827	0.706595	0.488833
39	1.50614	6.90751	10.3701	1.50614	0.704791	0.501281
40	1.51404	6.81263	10.3153	1.51404	0.702979	0.514148
41	1.52197	6.71756	10.2609	1.52197	0.701164	0.527479
42	1.52971	6.62508	10.2087	1.52971	0.699393	0.54091
43	1.53747	6.53126	10.1555	1.53747	0.69762	0.554902
44	1.54494	6.44199	10.1059	1.54494	0.695912	0.568749
45	1.55244	6.35191	10.0559	1.55244	0.694203	0.583126
46	1.56518	6.19744	9.97049	1.56518	0.691297	0.608806
47	1.57332	6.09639	9.91399	1.57332	0.689443	0.626209
48	1.58192	5.98674	9.8518	1.58192	0.687486	0.645602
